Quote,
Is mayonnaise an instrument?,All “my leg”s
Leif Erikson Day,Ur got
You know what's funnier than 24? 25.,Pizza Song
No I'm dirty dan,
I love you,
Soiled it Soiled it Soiled it,
I don’t need it,
Put your hand on the lid,
Firmly grasp it in your hand,
Leedle leedle leeee,
"Keep going, you’re good, you’re good",
"Rev up those fryers, cause I am sure hungry for one HELP HELP",
Smelly smell that smells smelly,
Let's take Bikini Bottom and push it somewhere else,
"Is this the Krusty Krab? No, this is Patrick.",
Sounds like a lot of hoopla to make over a little Krabby Patty,
Where’s the leak ma’am,
FINLAND,
My name’s not rick,
We’re not talking about this or this or this,
Hi mailman!,
I’m ugly and I’m proud,
Try asking again. Can I have something to eat? NoOoOo,
"You have it set to M for mini, when it should be set to W for wumbo",
Imagination,
Ravioli Ravioli give me the formuoli,
I guess you're going to miss the panty raid,
Are you feeling it now Mr. Krabs?,
It’s not my wallet,
There was once a barnacle that was so ugly that everyone died. The end.,
"You like krabby patties, dont you squidward?",
Dont you have to be stupid somewhere else? Not until 4.,
"This isn't your average everyday darkness, this is advanced darkness",
"It was his hat Mr. Krabs, he was number 1!",
May I take your hat sir,
I’ll have you know I stubbed my toe last week while watering my spice garden and I only cried for 20 minutes,
My friends do not hang out at Weenie Hut Jr's. You tell 'em Spongebob,
Why must every eleven minutes of my life be filled with misery?!,
Hahaha it’s a giraffe,
Who put you on the planet? UGH,
Time to take out the trash. *gasp* Mr. Krabs you shouldn’t talk about squidward like that,
What’s so great about dumb ol’ Texas,
"The door is locked, and the only way out is through the... perfume department.",
It’s not just a boulder…. It’s a rock,
Shut up you mediocre clarinet player,
"Hey pal, you just blow in from stupid town?",
Hey patrick what am I now? Stupid? No I’m texas. What’s the difference?,
Jeez Squidward maybe santa will send me a dictionary so I can understand what you just said,
Bee bee bee boo boo BOP,
What does claustrophobic mean? It means he’s afraid of santa claus.,
Oh east? I thought you said weast.,
"I was born with glass bones and paper skin. Every morning I break my legs, and every afternoon I break my arms. At night, I lie awake in agony until my heart attacks put me to sleep.",
Who ya calling pinhead?,
"Patrick say that again. ""That again.""",
This is a hotel?,
He’s just standing there…. Menacingly,
"I'll take a double triple bossy deluxe on a raft, four by four animal style, extra shingles with a shimmy and a squeeze, light axle grease, make it cry, burn it and let is swim. We serve food here sir.",
Wanna see me run to that mountain and back? Wanna see me do it again?,
That’s Mr. Dr. Professor Patrick to you,
How many mattresses do you think there are? 10. Cool,
My drink! My Diet Dr. Kelp?! Don't tell me you forgot my drink! How am I supposed to eat this pizza without my drink?!,
Who eats a krabby patty at 3am? Oh boy 3am.,
Spongebob we all know you’re using me as a distraction so you don’t have to write your essay,
Hey Patrick are you angry too? Yeah. What's the matter? I can't see my forehead.,
How many seconds was that? 12,
"You may be an open book, Spongebob, but I'm a bit more complicated than that. The inner machinations of my mind are an enigma",
I want this ship to look scary,
